lat,lon,ort,bezeichnung,gemeindeschluessel
52.16757781,8.643931639,LK Herford,Kreis,5758
51.68494074,9.178091498,LK Höxter,Kreis,5762
51.98142265,8.950837273,LK Lippe,Kreis,5766
52.3524755,8.739348393,LK Minden-Lübbecke,Kreis,5770
51.66417546,8.719635033,LK Paderborn,Kreis,5774
51.46992737,7.224935232,SK Bochum,Kreisfreie Stadt,5911
51.51607757,7.474900905,SK Dortmund,Kreisfreie Stadt,5913
51.34804507,7.497555538,SK Hagen,Kreisfreie Stadt,5914
51.6651744,7.823586193,SK Hamm,Kreisfreie Stadt,5915
51.53753324,7.208557615,SK Herne,Kreisfreie Stadt,5916
51.34684479,7.324029334,LK Ennepe-Ruhr-Kreis,Kreis,5954
51.30682538,8.385079867,LK Hochsauerlandkreis,Kreis,5958
51.26261144,7.713008099,LK Märkischer Kreis,Kreis,5962
51.08615959,7.976477266,LK Olpe,Kreis,5966
50.93773864,8.195170269,LK Siegen-Wittgenstein,Kreis,5970
51.5644105,8.217437438,LK Soest,Kreis,5974
51.57857454,7.636444585,LK Unna,Kreis,5978
49.88144614,8.664681555,SK Darmstadt,Kreisfreie Stadt,6411
50.1179681,8.644190394,SK Frankfurt am Main,Kreisfreie Stadt,6412
50.09107877,8.780962265,SK Offenbach,Kreisfreie Stadt,6413
50.07915667,8.260366469,SK Wiesbaden,Kreisfreie Stadt,6414
49.61770122,8.660116116,LK Bergstraße,Landkreis,6431
49.85550385,8.795469879,LK Darmstadt-Dieburg,Landkreis,6432
49.90450861,8.470252477,LK Groß-Gerau,Landkreis,6433
50.28161525,8.504646058,LK Hochtaunuskreis,Landkreis,6434
50.24386452,9.286222992,LK Main-Kinzig-Kreis,Landkreis,6435
50.10257891,8.434571215,LK Main-Taunus-Kreis,Landkreis,6436
49.67158617,8.979525239,LK Odenwaldkreis,Landkreis,6437
50.02167746,8.811439146,LK Offenbach,Landkreis,6438
50.14197172,8.081134713,LK Rheingau-Taunus-Kreis,Landkreis,6439
50.35477648,8.907657059,LK Wetteraukreis,Landkreis,6440
50.5702779,8.807513717,LK Gießen,Landkreis,6531
50.64826873,8.36532824,LK Lahn-Dill-Kreis,Landkreis,6532
50.42747035,8.199437238,LK Limburg-Weilburg,Landkreis,6533
50.83686383,8.738043768,LK Marburg-Biedenkopf,Landkreis,6534
50.63811937,9.271379509,LK Vogelsbergkreis,Landkreis,6535
51.31145481,9.46020305,SK Kassel,Kreisfreie Stadt,6611
50.56388099,9.759139165,LK Fulda,Landkreis,6631
50.90618961,9.752932406,LK Hersfeld-Rotenburg,Landkreis,6632
51.40129614,9.407038916,LK Kassel,Landkreis,6633
51.02377582,9.373652339,LK Schwalm-Eder-Kreis,Landkreis,6634
51.19068757,8.88888422,LK Waldeck-Frankenberg,Landkreis,6635
51.19075638,9.928906207,LK Werra-Meißner-Kreis,Landkreis,6636
50.34851606,7.579551024,SK Koblenz,Kreisfreie Stadt,7111
50.46758532,7.044976439,LK Ahrweiler,Landkreis,7131
50.75074766,7.74412526,LK Altenkirchen,Landkreis,7132
49.82482041,7.686664992,LK Bad Kreuznach,Landkreis,7133
49.71254039,7.277654598,LK Birkenfeld,Landkreis,7134
50.13288001,7.174319965,LK Cochem-Zell,Landkreis,7135
50.33160787,7.332169432,LK Mayen-Koblenz,Landkreis,7137
50.55770055,7.46900065,LK Neuwied,Landkreis,7138
50.04420982,7.500099712,LK Rhein-Hunsrück-Kreis,Landkreis,7140
50.26328174,7.842709936,LK Rhein-Lahn-Kreis,Landkreis,7141
50.55234937,7.865681372,LK Westerwaldkreis,Landkreis,7143
49.76293883,6.655051022,SK Trier,Kreisfreie Stadt,7211
49.92464518,6.967218622,LK Bernkastel-Wittlich,Landkreis,7231
50.06215977,6.410129965,LK Bitburg-Prüm,Landkreis,7232
50.23833585,6.748653732,LK Vulkaneifel,Landkreis,7233
49.69647113,6.695195596,LK Trier-Saarburg,Landkreis,7235
49.53306403,8.356883799,SK Frankenthal,Kreisfreie Stadt,7311
49.4328526,7.760674748,SK Kaiserslautern,Kreisfreie Stadt,7312
49.22449388,8.05060076,SK Landau i.d.Pfalz,Kreisfreie Stadt,7313
49.48208767,8.396844536,SK Ludwigshafen,Kreisfreie Stadt,7314
49.97418652,8.241497085,SK Mainz,Kreisfreie Stadt,7315
49.34187582,8.152287859,SK Neustadt a.d.Weinstraße,Kreisfreie Stadt,7316
49.19712709,7.594363165,SK Pirmasens,Kreisfreie Stadt,7317
49.32971814,8.435019749,SK Speyer,Kreisfreie Stadt,7318
49.64944553,8.324528631,SK Worms,Kreisfreie Stadt,7319
49.24816069,7.36539389,SK Zweibrücken,Kreisfreie Stadt,7320
49.7594414,8.15718502,LK Alzey-Worms,Landkreis,7331
49.4530206,8.110304937,LK Bad Dürkheim,Landkreis,7332
49.63198305,7.915011327,LK Donnersbergkreis,Landkreis,7333
49.11590817,8.24619377,LK Germersheim,Landkreis,7334
49.44622232,7.684981573,LK Kaiserslautern,Landkreis,7335
49.54981086,7.471320282,LK Kusel,Landkreis,7336
49.19038234,8.048076004,LK Südliche Weinstraße,Landkreis,7337
49.41664998,8.360681086,LK Rhein-Pfalz-Kreis,Landkreis,7338
49.92201388,8.079648751,LK Mainz-Bingen,Landkreis,7339
49.20827474,7.65886719,LK Südwestpfalz,Landkreis,7340
48.77453396,9.172067988,SK Stuttgart,Stadtkreis,8111
48.67822563,8.942777301,LK Böblingen,Landkreis,8115
48.64802168,9.369165728,LK Esslingen,Landkreis,8116
48.66314836,9.717504977,LK Göppingen,Landkreis,8117
48.94060298,9.124344257,LK Ludwigsburg,Landkreis,8118
48.89900813,9.501212956,LK Rems-Murr-Kreis,Landkreis,8119
49.15271959,9.182346901,SK Heilbronn,Stadtkreis,8121
49.17719852,9.190778723,LK Heilbronn,Landkreis,8125
49.27154614,9.614135781,LK Hohenlohekreis,Landkreis,8126
49.14446897,9.908932168,LK Schwäbisch Hall,Landkreis,8127
49.56070071,9.725088401,LK Main-Tauber-Kreis,Landkreis,8128
48.66228146,10.18215043,LK Heidenheim,Landkreis,8135
48.87752597,10.09015736,LK Ostalbkreis,Landkreis,8136
48.74852744,8.231762203,SK Baden-Baden,Stadtkreis,8211
49.01133399,8.41266977,SK Karlsruhe,Stadtkreis,8212
49.08188493,8.562796642,LK Karlsruhe,Landkreis,8215
48.76181925,8.241247569,LK Rastatt,Landkreis,8216
49.4055153,8.69417185,SK Heidelberg,Stadtkreis,8221
49.49941904,8.500324438,SK Mannheim,Stadtkreis,8222
49.46660977,9.280110002,LK Neckar-Odenwald-Kreis,Landkreis,8225
49.36848493,8.767084426,LK Rhein-Neckar-Kreis,Landkreis,8226
48.87640055,8.712779093,SK Pforzheim,Stadtkreis,8231
48.67899906,8.635769829,LK Calw,Landkreis,8235
48.91446693,8.737081203,LK Enzkreis,Landkreis,8236
48.47440617,8.465312971,LK Freudenstadt,Landkreis,8237
47.992523,7.818075962,SK Freiburg i.Breisgau,Stadtkreis,8311
47.92490936,7.924940897,LK Breisgau-Hochschwarzwald,Landkreis,8315
48.14851206,7.897550382,LK Emmendingen,Landkreis,8316
48.42097194,8.016219909,LK Ortenaukreis,Landkreis,8317
48.25422029,8.532351332,LK Rottweil,Landkreis,8325
48.01911974,8.410964353,LK Schwarzwald-Baar-Kreis,Landkreis,8326
48.01120044,8.794136176,LK Tuttlingen,Landkreis,8327
47.79321279,8.915763012,LK Konstanz,Landkreis,8335
47.70350402,7.774028828,LK Lörrach,Landkreis,8336
47.69713347,8.218892391,LK Waldshut,Landkreis,8337
48.40647635,9.365726299,LK Reutlingen,Landkreis,8415
48.4817379,8.987634001,LK Tübingen,Landkreis,8416
48.26723891,8.937428398,LK Zollernalbkreis,Landkreis,8417
48.39083274,9.950021135,SK Ulm,Stadtkreis,8421
48.40171143,9.827447144,LK Alb-Donau-Kreis,Landkreis,8425
48.10758263,9.774254366,LK Biberach,Landkreis,8426
47.73346029,9.400770014,LK Bodenseekreis,Landkreis,8435
47.82504412,9.779894558,LK Ravensburg,Landkreis,8436
48.0391515,9.241003503,LK Sigmaringen,Landkreis,8437
48.75509278,11.39500693,SK Ingolstadt,Kreisfreie Stadt,9161
48.15321316,11.54724418,SK München,Kreisfreie Stadt,9162
47.84437772,12.10872475,SK Rosenheim,Kreisfreie Stadt,9163
48.20980443,12.70528268,LK Altötting,Landkreis,9171
47.6984724,12.90186609,LK Berchtesgadener Land,Landkreis,9172
47.72747715,11.4831154,LK Bad Tölz-Wolfratshausen,Landkreis,9173
48.33454826,11.35711281,LK Dachau,Landkreis,9174
48.07617761,11.91317212,LK Ebersberg,Landkreis,9175
48.89808756,11.37038733,LK Eichstätt,Landkreis,9176
48.30039708,12.0006247,LK Erding,Landkreis,9177
48.44735698,11.74067169,LK Freising,Landkreis,9178
48.18779329,11.20107762,LK Fürstenfeldbruck,Landkreis,9179
47.55634898,11.12962861,LK Garmisch-Partenkirchen,Landkreis,9180
48.02443538,10.94873468,LK Landsberg a.Lech,Landkreis,9181
47.74164533,11.80898974,LK Miesbach,Landkreis,9182
48.23931452,12.38182802,LK Mühldorf a.Inn,Landkreis,9183
48.0744744,11.63136804,LK München,Landkreis,9184
48.66442033,11.19721067,LK Neuburg-Schrobenhausen,Landkreis,9185
48.59627518,11.52428271,LK Pfaffenhofen a.d.Ilm,Landkreis,9186
47.87837975,12.16275398,LK Rosenheim,Landkreis,9187
48.00604698,11.28173267,LK Starnberg,Landkreis,9188
47.89454276,12.57957507,LK Traunstein,Landkreis,9189
47.78753703,11.04833647,LK Weilheim-Schongau,Landkreis,9190
48.54466998,12.15934165,SK Landshut,Kreisfreie Stadt,9261
48.5820984,13.41505042,SK Passau,Kreisfreie Stadt,9262
48.88075448,12.57347487,SK Straubing,Kreisfreie Stadt,9263
48.77870212,13.0007258,LK Deggendorf,Landkreis,9271
48.82685817,13.51321006,LK Freyung-Grafenau,Landkreis,9272
48.82494143,11.85755444,LK Kelheim,Landkreis,9273
48.55775541,12.19539242,LK Landshut,Landkreis,9274
48.55863045,13.36660359,LK Passau,Landkreis,9275
49.02281441,13.09976379,LK Regen,Landkreis,9276
48.42451987,12.86735043,LK Rottal-Inn,Landkreis,9277
48.89970504,12.58240399,LK Straubing-Bogen,Landkreis,9278
48.64116462,12.61047719,LK Dingolfing-Landau,Landkreis,9279
49.45092774,11.8453726,SK Amberg,Kreisfreie Stadt,9361
49.0130809,12.11373088,SK Regensburg,Kreisfreie Stadt,9362
